Rank,State,2013,2014,2015,2016,2017,2018,Long,Lat
1,Uttar Pradesh,75662.09,79874.18,84086.27,88298.36,92510.45,96722.55,80.9462,26.8467
2,Maharashtra,43434.42,44636.9,45839.38,47041.85,48244.33,49446.8,75.7139,19.7515
3,Andhra Pradesh,41971.47,43406.07,44840.67,46275.26,47709.86,49144.46,79.74,15.9129
4,West Bengal,31828.74,33474.57,35120.41,36766.24,38412.07,40057.9,87.855,22.9868
5,Madhya Pradesh,29155.17,29639.13,30123.09,30607.05,31091.01,31574.97,78.6569,22.9734
6,Gujarat,25225.33,26259.87,27294.41,28328.95,29363.49,30398.03,71.1924,22.2587
7,Odisha,16496.3,17360.02,18223.73,19087.44,19951.16,20814.87,85.0985,20.9517
8,Assam,30761,31176.69,32366.28,34243.08,35403.77,36206.29,92.9376,26.2006
9,Karnataka,16662.48,17341.5,18020.51,18699.52,19378.53,20057.54,75.7139,15.3173
10,Rajasthan,16719.21,17046.07,17372.92,17699.77,18026.62,18353.48,74.2179,27.0238
11,Kerala,14300.59,14806.8,15313,15819.21,16325.42,16831.62,76.2711,10.8505
12,Haryana,7488.62,7583.23,7677.84,7772.45,7867.05,7961.66,76.0856,29.0588
13,Tamil Nadu,9175.27,8846.01,8516.74,8187.48,7858.21,7528.94,78.6569,11.1271
14,Chattisgarh,6799.26,6942.73,7086.21,7229.68,7373.16,7516.64,81.8661,21.2787
15,Jharkhand,5719.14,5915.81,6112.49,6309.16,6505.84,6702.51,85.2799,23.6102
16,JammuKashmir,5004.2,5199.95,5395.69,5591.44,5787.19,5982.94,75.3412,33.2778
17,Punjab,4489,4524.73,4560.46,4596.19,4631.92,4667.65,75.3412,31.1471
18,Tripura,2692.64,2876.81,3060.99,3245.16,3429.34,3613.51,91.9882,23.9408
19,Delhi,3728.21,3657.41,3586.61,3515.81,3445.01,3374.21,77.1025,28.7041
20,Uttarakhand,1721,1697.62,1674.23,1650.85,1627.46,1604.08,79.0193,30.0668
21,Himachal Pradesh,1420.79,1436.9,1453,1469.11,1485.22,1501.33,77.1734,31.1048
22,Meghalaya,276.48,295.92,315.35,334.79,354.22,373.65,91.3662,25.467
23,Goa,225.71,230.41,235.11,239.81,244.51,249.21,74.124,15.2993
24,Mizoram,189.39,195.2,201,206.81,212.61,218.41,92.9376,23.1645
25,Manipur,179.23,184.34,189.45,194.56,199.67,204.79,93.9063,24.6637
26,Arunachal Pradesh,189.08,190.22,191.36,192.5,193.64,194.78,94.7278,28.218
27,Sikkim,77.73,81.69,85.64,89.6,93.56,97.52,88.5122,27.533
28,Nagaland,74.55,77.78,81.02,84.26,87.5,90.73,94.5624,26.1584
